year_film,year_ceremony,ceremony,category,nominee,film,winner
1957,1958,15,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mildred Dunnock,Peyton Place,False
1957,1958,15,Best Performance by an Actress in a Supporting Role in any Motion Picture,Hope Lange,Peyton Place,False
1957,1958,15,New Star Of The Year - Actress,Diane Varsi,Peyton Place,True
1965,1966,23,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Alberto Sordi,Those Magnificent Men in Their Flying Machines,False
1965,1966,23,New Star Of The Year - Actor,James Fox,Those Magnificent Men in Their Flying Machines,False
1985,1986,43,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Griffin Dunne,After Hours,False
2001,2002,59,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Emma Thompson,Wit,False
1983,1984,41,Best Performance by an Actress in a Supporting Role in any Motion Picture,Barbara Carrera,Never Say Never Again,False
1984,1985,42,Best Performance by an Actress in a Supporting Role in any Motion Picture,Melanie Griffith,Body Double,False
1992,1993,50,Best Performance by an Actor in a Motion Picture - Drama,Robert Downey Jr.,Chaplin,False
1992,1993,50,Best Performance by an Actress in a Supporting Role in any Motion Picture,Geraldine Chaplin,Chaplin,False
1992,1993,50,Best Original Score - Motion Picture,John Barry,Chaplin,False
1952,1953,10,New Star Of The Year - Actor,Aldo Ray,Pat and Mike,False
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,Katharine Hepburn,Pat and Mike,False
1967,1968,25,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Harris,Camelot,True
1967,1968,25,Best Original Score - Motion Picture,Frederick Loewe,Camelot,True
1967,1968,25,Best Original Song - Motion Picture,"If Ever I Would Leave You, Frederick Loewe, Alan Jay Lerner",Camelot,True
1967,1968,25,New Star Of The Year - Actor,Franco Nero,Camelot,False
1967,1968,25,Actress In A Leading Role - Musical Or Comedy,Vanessa Redgrave,Camelot,False
1999,2000,57,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jack Lemmon,Tuesdays with Morrie,False
1953,1954,11,Best Performance by an Actress in a Supporting Role in any Motion Picture,Grace Kelly,Mogambo,True
1983,1984,41,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Woody Allen,Zelig,False
1984,1985,42,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Mia Farrow,Broadway Danny Rose,False
1954,1955,12,Cinematography - Color,Joseph Ruttenberg,Brigadoon,True
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Geraldine Page,Sweet Bird of Youth,True
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Paul Newman,Sweet Bird of Youth,False
1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Shirley Knight,Sweet Bird of Youth,False
1962,1963,20,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ed Begley,Sweet Bird of Youth,False
1963,1964,21,New Star Of The Year - Actor,Larry Tucker,Shock Corridor,False
1968,1969,26,Best Performance by an Actor in a Motion Picture - Drama,Cliff Robertson,Charly,False
1968,1969,26,Best Screenplay - Motion Picture,Stirling Silliphant,Charly,True
1983,1984,41,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julie Walters,Educating Rita,True
1983,1984,41,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Caine,Educating Rita,True
1983,1984,41,Best Screenplay - Motion Picture,Willy Russell,Educating Rita,False
1969,1970,27,Best Performance by an Actress in a Motion Picture - Drama,Geneviève Bujold,Anne of the Thousand Days,True
1969,1970,27,Best Performance by an Actor in a Motion Picture - Drama,Richard Burton,Anne of the Thousand Days,False
1969,1970,27,Best Performance by an Actor in a Supporting Role in any Motion Picture,Anthony Quayle,Anne of the Thousand Days,False
1969,1970,27,Best Director - Motion Picture,Charles Jarrott,Anne of the Thousand Days,True
1969,1970,27,Best Screenplay - Motion Picture,Bridget Boland,Anne of the Thousand Days,True
1969,1970,27,Best Original Score - Motion Picture,Georges Delerue,Anne of the Thousand Days,False
1992,1993,50,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Shirley MacLaine,Used People,False
1992,1993,50,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Marcello Mastroianni,Used People,False
1947,1948,5,Cinematography,Jack Cardiff,Black Narcissus,True
2004,2005,62,Best Original Song - Motion Picture,"""Accidentally In Love"", Adam Duritz, Dan Vickery, David Immerglück, Matthew Malley, David Bryson",Shrek 2,False
1961,1962,19,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tony Randall,Lover Come Back,False
1948,1949,6,Actress In A Leading Role,Jane Wyman,Johnny Belinda,True
1976,1977,34,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mel Brooks,Silent Movie,False
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Bernadette Peters,Silent Movie,False
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Marty Feldman,Silent Movie,False
2004,2005,62,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ashley Judd,De-Lovely,False
2004,2005,62,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Kline,De-Lovely,False
1969,1970,27,New Star Of The Year - Actress,Dyan Cannon,Bob & Carol & Ted & Alice,False
1969,1970,27,Actress In A Leading Role - Musical Or Comedy,Dyan Cannon,Bob & Carol & Ted & Alice,False
1984,1985,42,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lily Tomlin,All of Me,False
1984,1985,42,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Steve Martin,All of Me,False
1960,1961,18,Best Performance by an Actress in a Motion Picture - Drama,Elizabeth Taylor,Butterfield 8,False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Steve Martin,Roxanne,False
2004,2005,62,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jamie Foxx,Collateral,False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Drama,Ellen Burstyn,Alice Doesn't Live Here Anymore,False
1974,1975,32,Best Performance by an Actress in a Supporting Role in any Motion Picture,Diane Ladd,Alice Doesn't Live Here Anymore,False
1985,1986,43,Best Performance by an Actress in a Motion Picture - Drama,Cher,Mask,False
1985,1986,43,Best Performance by an Actor in a Supporting Role in any Motion Picture,Eric Stoltz,Mask,False
2004,2005,62,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Annette Bening,Being Julia,True
2004,2005,62,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Paul Giamatti,Sideways,False
2004,2005,62,Best Performance by an Actress in a Supporting Role in any Motion Picture,Virginia Madsen,Sideways,False
2004,2005,62,Best Performance by an Actor in a Supporting Role in any Motion Picture,Thomas Haden Church,Sideways,False
2004,2005,62,Best Director - Motion Picture,Alexander Payne,Sideways,False
2004,2005,62,Best Screenplay - Motion Picture,"Alexander Payne, Jim Taylor",Sideways,True
2004,2005,62,Best Original Score - Motion Picture,Rolfe Kent,Sideways,False
2004,2005,62,Best Performance by an Actress in a Motion Picture - Drama,Imelda Staunton,Vera Drake,False
2004,2005,62,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jamie Foxx,Ray,True
2004,2005,62,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,Birth,False
2004,2005,62,Best Performance by an Actor in a Motion Picture - Drama,Liam Neeson,Kinsey,False
2004,2005,62,Best Performance by an Actress in a Supporting Role in any Motion Picture,Laura Linney,Kinsey,False
2004,2005,62,Best Performance by an Actor in a Motion Picture - Drama,Johnny Depp,Finding Neverland,False
2004,2005,62,Best Director - Motion Picture,Marc Forster,Finding Neverland,False
2004,2005,62,Best Screenplay - Motion Picture,David Magee,Finding Neverland,False
2004,2005,62,Best Original Score - Motion Picture,Jan A.P. Kaczmarek,Finding Neverland,False
2004,2005,62,Best Performance by an Actress in a Supporting Role in any Motion Picture,Natalie Portman,Closer,True
2004,2005,62,Best Performance by an Actor in a Supporting Role in any Motion Picture,Clive Owen,Closer,True
2004,2005,62,Best Director - Motion Picture,Mike Nichols,Closer,False
2004,2005,62,Best Screenplay - Motion Picture,Patrick Marber,Closer,False
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Betty Hutton,Annie Get Your Gun,False
1950,1951,8,Cinematography - Color,Robert L. Surtees,King Solomon's Mines,True
1958,1959,16,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Clark Gable,Teacher's Pet,False
1958,1959,16,Best Performance by an Actor in a Supporting Role in any Motion Picture,Gig Young,Teacher's Pet,False
1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Tarita,Mutiny on the Bounty,False
1962,1963,20,Best Original Score - Motion Picture,Bronislau Kaper,Mutiny on the Bounty,False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Drama,Gene Hackman,French Connection II,False
1976,1977,34,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gene Wilder,Silver Streak,False
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mel Brooks,High Anxiety,False
1979,1980,37,New Star Of The Year,Treat Williams,Hair,False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Musical or Comedy,George Hamilton,Love at First Bite,False
1985,1986,43,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Dustin Hoffman,Death of a Salesman,True
1985,1986,43,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kate Reid,Death of a Salesman,False
1985,1986,43,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Malkovich,Death of a Salesman,False
1985,1986,43,Best Original Score - Motion Picture,Michel Colombier,White Nights,False
1985,1986,43,Best Original Song - Motion Picture,"Say You, Say Me, Lionel Richie",White Nights,True
1986,1987,44,Best Performance by an Actor in a Motion Picture - Drama,Dexter Gordon,'Round Midnight,False
1986,1987,44,Best Original Score - Motion Picture,Herbie Hancock,'Round Midnight,False
1989,1990,47,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Robert Duvall,Lonesome Dove,True
1989,1990,47,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anjelica Huston,Lonesome Dove,False
1989,1990,47,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tommy Lee Jones,Lonesome Dove,False
1993,1994,51,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Garner,Barbarians at the Gate,True
1993,1994,51,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jonathan Pryce,Barbarians at the Gate,False
1999,2000,57,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Liev Schreiber,RKO 281,False
1999,2000,57,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Melanie Griffith,RKO 281,False
1998,1999,56,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Angelina Jolie,Gia,True
1998,1999,56,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Faye Dunaway,Gia,True
1998,1999,56,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Miranda Richardson,Merlin,False
1998,1999,56,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Sam Neill,Merlin,False
1998,1999,56,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Helena Bonham Carter,Merlin,False
2000,2001,58,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Vanessa Redgrave,If These Walls Could Talk 2,True
2001,2002,59,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Barry Pepper,61*,False
2003,2004,61,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Antonio Banderas,And Starring Pancho Villa as Himself,False
2004,2005,62,Best Original Score - Motion Picture,Hans Zimmer,Spanglish,False
2004,2005,62,Best Performance by an Actress in a Motion Picture - Drama,Hilary Swank,Million Dollar Baby,True
2004,2005,62,Best Performance by an Actor in a Supporting Role in any Motion Picture,Morgan Freeman,Million Dollar Baby,False
2004,2005,62,Best Director - Motion Picture,Clint Eastwood,Million Dollar Baby,True
2004,2005,62,Best Original Score - Motion Picture,Clint Eastwood,Million Dollar Baby,False
2004,2005,62,Best Performance by an Actor in a Motion Picture - Drama,Don Cheadle,Hotel Rwanda,False
2004,2005,62,Best Original Song - Motion Picture,"""Million Voices"", Wyclef Jean, Jerry 'Wonder' Duplessis, Andrea Guerra",Hotel Rwanda,False
2005,2006,63,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Charlie and the Chocolate Factory,False
2004,2005,62,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Spacey,Beyond the Sea,False
1948,1949,6,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ellen Corby,I Remember Mama,True
1961,1962,19,Best Director - Motion Picture,Anthony Mann,El Cid,False
1961,1962,19,Best Original Score - Motion Picture,Miklos Rozsa,El Cid,False
1961,1962,19,Special Achievement Award,Samuel Bronston,El Cid,False
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Jane Fonda,Julia,True
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Vanessa Redgrave,Julia,True
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Maximilian Schell,Julia,False
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jason Robards Jr.,Julia,False
1977,1978,35,Best Director - Motion Picture,Fred Zinnemann,Julia,False
1977,1978,35,Best Screenplay - Motion Picture,Alvin Sargent,Julia,False
2005,2006,63,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,Cinderella Man,False
2005,2006,63,Best Performance by an Actor in a Supporting Role in any Motion Picture,Paul Giamatti,Cinderella Man,False
